miejsce, kupon
Cofix Białystok,-20% na kawy
Zachodnia Kawiarnia Białystok,Szósta kawa gratis
Kocie Cafe Białystok,2 kawy w cenie 1
Kocie Cafe Białystok,Gorąca czekolada z dodatkami 10 zł
Zachodnia Kawiarnia Białystok,Kawa gratis
Duży Pokój Białystok,Kawa -50%
Kocie Cafe Białystok,Dowolny napój -50%
Naleśniki Jak Smok Białystok,Rabat 15%
Receptura Bydgoszcz,Ciasto + kawa/herbata do 13zł gratis*
Dobra Pączkarnia Bydgoszcz,Trzeci pączek gratis
Receptura Bydgoszcz,Kawa/herbata do 16 zł za50%
Cofix Lublin,-20% na kawy
Zielona Cdk Łódź,Kawa gratis
Oldskulowa Cafe Poznań,20% zniżki
Cafe Sorrir Poznań,Cappuccino lub latte gratis
Młyńczyk Poznań,Darmowa kawa do dania
Tianfun Warszawa,Druga herbata za darmo
Nalody Warszawa,Duża kawa w cenie małej
Paprotka Cafe Warszawa,2 dowolne kawy w cenie 1
Cofix Warszawa,-20% na kawy
Nalody Warszawa,Zestaw kawa + ciasto 18 zł
Fc Cafe Wrocław,15% zniżki na kawę
Fc Naleśniki Wrocław,15% zniżki na naleśniki
